DATE,TAVG,NAME
196101,26.8,barcelos
196102,26.8,barcelos
196103,27.4,barcelos
196104,27.6,barcelos
196105,26.5,barcelos
196106,26.1,barcelos
196107,26.2,barcelos
196108,27.2,barcelos
196109,27.1,barcelos
196110,26.8,barcelos
196111,27.4,barcelos
196112,27.2,barcelos
196201,27.3,barcelos
196202,27.5,barcelos
196203,26.9,barcelos
196204,27.1,barcelos
196205,26.6,barcelos
196206,26.3,barcelos
196207,26.3,barcelos
196208,27.1,barcelos
196209,27.7,barcelos
196210,27,barcelos
196211,26.9,barcelos
196212,27.7,barcelos
196301,26.7,barcelos
196302,NA,barcelos
196303,NA,barcelos
196304,NA,barcelos
196305,NA,barcelos
196306,NA,barcelos
196307,NA,barcelos
196308,NA,barcelos
196309,NA,barcelos
196310,NA,barcelos
196311,NA,barcelos
196312,NA,barcelos
196401,NA,barcelos
196402,NA,barcelos
196403,NA,barcelos
196404,NA,barcelos
196405,NA,barcelos
196406,NA,barcelos
196407,NA,barcelos
196408,NA,barcelos
196409,27.1,barcelos
196410,26.6,barcelos
196411,27.4,barcelos
196412,27.3,barcelos
196501,27.6,barcelos
196502,28.1,barcelos
196503,27.5,barcelos
196504,27.8,barcelos
196505,27.5,barcelos
196506,27.7,barcelos
196507,27.3,barcelos
196508,27.8,barcelos
196509,27.7,barcelos
196510,27.6,barcelos
196511,27.7,barcelos
196512,27.9,barcelos
196601,27.8,barcelos
196602,28.7,barcelos
196603,27.9,barcelos
196604,27.6,barcelos
196605,27.2,barcelos
196606,27,barcelos
196607,26.7,barcelos
196608,27.1,barcelos
196609,27.6,barcelos
196610,28,barcelos
196611,27.7,barcelos
196612,27.4,barcelos
196701,26.3,barcelos
196702,26.9,barcelos
196703,26.9,barcelos
196704,26.8,barcelos
196705,26.3,barcelos
196706,26.3,barcelos
196707,26.9,barcelos
196708,27.3,barcelos
196709,27.6,barcelos
196710,27.3,barcelos
196711,27.4,barcelos
196712,28.1,barcelos
196801,26.6,barcelos
196802,27.1,barcelos
196803,26.5,barcelos
196804,26.3,barcelos
196805,25.5,barcelos
196806,25.9,barcelos
196807,26.1,barcelos
196808,26.9,barcelos
196809,26.6,barcelos
196810,27.7,barcelos
196811,26.7,barcelos
196812,28,barcelos
196901,26.3,barcelos
196902,27.8,barcelos
196903,28.1,barcelos
196904,26.8,barcelos
196905,27.9,barcelos
196906,27.7,barcelos
196907,26.8,barcelos
196908,27.2,barcelos
196909,27.5,barcelos
196910,27.9,barcelos
196911,NA,barcelos
196912,NA,barcelos
197001,NA,barcelos
197002,27,barcelos
197003,26.9,barcelos
197004,26.9,barcelos
197005,26.7,barcelos
197006,26.3,barcelos
197007,26.4,barcelos
197008,26.6,barcelos
197009,26.3,barcelos
197010,27.4,barcelos
197011,26.7,barcelos
197012,27.1,barcelos
197101,26.4,barcelos
197102,25.6,barcelos
197103,26.1,barcelos
197104,25.8,barcelos
197105,25.7,barcelos
197106,25.6,barcelos
197107,26.2,barcelos
197108,26,barcelos
197109,27,barcelos
197110,26.6,barcelos
197111,NA,barcelos
197112,NA,barcelos
197201,NA,barcelos
197202,NA,barcelos
197203,NA,barcelos
197204,NA,barcelos
197205,NA,barcelos
197206,26,barcelos
197207,26.5,barcelos
197208,26.6,barcelos
197209,26.6,barcelos
197210,26.9,barcelos
197211,27.4,barcelos
197212,27.2,barcelos
197301,NA,barcelos
197302,28.1,barcelos
197303,28,barcelos
197304,27.6,barcelos
197305,26.4,barcelos
197306,26.7,barcelos
197307,NA,barcelos
197308,26.8,barcelos
197309,26.8,barcelos
197310,27.5,barcelos
197311,27.2,barcelos
197312,26.4,barcelos
197401,26.8,barcelos
197402,26.4,barcelos
197403,26.9,barcelos
197404,26.7,barcelos
197405,26.3,barcelos
197406,26.1,barcelos
197407,25.7,barcelos
197408,26.4,barcelos
197409,26.2,barcelos
197410,27,barcelos
197411,27.3,barcelos
197412,26.7,barcelos
197501,26.4,barcelos
197502,27.3,barcelos
197503,27,barcelos
197504,27,barcelos
197505,NA,barcelos
197506,26.4,barcelos
197507,25.1,barcelos
197508,26.2,barcelos
197509,27,barcelos
197510,26.9,barcelos
197511,27.3,barcelos
197512,26.3,barcelos
197601,NA,barcelos
197602,NA,barcelos
197603,NA,barcelos
197604,NA,barcelos
197605,NA,barcelos
197606,NA,barcelos
197607,NA,barcelos
197608,NA,barcelos
197609,25.3,barcelos
197610,25.9,barcelos
197611,25.3,barcelos
197612,NA,barcelos
197701,25.7,barcelos
197702,25.2,barcelos
197703,24.8,barcelos
197704,25.4,barcelos
197705,25.3,barcelos
197706,NA,barcelos
197707,26.7,barcelos
197708,27.4,barcelos
197709,27.2,barcelos
197710,27.5,barcelos
197711,28.7,barcelos
197712,28.1,barcelos
197801,27.4,barcelos
197802,27.2,barcelos
197803,26.1,barcelos
197804,25.8,barcelos
197805,25.5,barcelos
197806,25,barcelos
197807,25,barcelos
197808,25,barcelos
197809,26,barcelos
197810,26.6,barcelos
197811,NA,barcelos
197812,NA,barcelos
197901,NA,barcelos
197902,NA,barcelos
197903,NA,barcelos
197904,25.5,barcelos
197905,26.6,barcelos
197906,25.7,barcelos
197907,26.8,barcelos
197908,27,barcelos
197909,26.5,barcelos
197910,25.7,barcelos
197911,27,barcelos
197912,27.1,barcelos
198001,27.4,barcelos
198002,28.4,barcelos
198003,27.6,barcelos
198004,26.8,barcelos
198005,26.6,barcelos
198006,26.6,barcelos
198007,26.5,barcelos
198008,26.9,barcelos
198009,27.3,barcelos
198010,NA,barcelos
198011,27,barcelos
198012,27.4,barcelos
198101,27.2,barcelos
198102,26.6,barcelos
198103,27.3,barcelos
198104,26.6,barcelos
198105,26.7,barcelos
198106,26.7,barcelos
198107,25.7,barcelos
198108,26.7,barcelos
198109,26.7,barcelos
198110,27.2,barcelos
198111,27.4,barcelos
198112,27.3,barcelos
198201,NA,barcelos
198202,NA,barcelos
198203,NA,barcelos
198204,NA,barcelos
198205,NA,barcelos
198206,NA,barcelos
198207,NA,barcelos
198208,26.5,barcelos
198209,27,barcelos
198210,27,barcelos
198211,27.8,barcelos
198212,27,barcelos
198301,28.6,barcelos
198302,29.3,barcelos
198303,28.7,barcelos
198304,27.3,barcelos
198305,27.8,barcelos
198306,27.2,barcelos
198307,27.4,barcelos
198308,26.6,barcelos
198309,27,barcelos
198310,27,barcelos
198311,27.5,barcelos
198312,26.6,barcelos
198401,26.5,barcelos
198402,26.6,barcelos
198403,27.4,barcelos
198404,27.7,barcelos
198405,26.8,barcelos
198406,26.9,barcelos
198407,26.8,barcelos
198408,26.7,barcelos
198409,26.5,barcelos
198410,27.6,barcelos
198411,27.2,barcelos
198412,27.2,barcelos
198501,27.6,barcelos
198502,27.5,barcelos
198503,27.8,barcelos
198504,28,barcelos
198505,27,barcelos
198506,26,barcelos
198507,26.4,barcelos
198508,26.6,barcelos
198509,27.4,barcelos
198510,27.6,barcelos
198511,26.9,barcelos
198512,27.7,barcelos
198601,26.7,barcelos
198602,27.7,barcelos
198603,27.6,barcelos
198604,27.8,barcelos
198605,27.6,barcelos
198606,26.3,barcelos
198607,26.3,barcelos
198608,28.1,barcelos
198609,NA,barcelos
198610,NA,barcelos
198611,NA,barcelos
198612,NA,barcelos
198701,27.2,barcelos
198702,26.4,barcelos
198703,26.6,barcelos
198704,25.5,barcelos
198705,25.2,barcelos
198706,24.8,barcelos
198707,26,barcelos
198708,25.4,barcelos
198709,25.8,barcelos
198710,26.4,barcelos
198711,26.1,barcelos
198712,26.5,barcelos
198801,25.9,barcelos
198802,25.6,barcelos
198803,26.3,barcelos
198804,25.5,barcelos
198805,24.8,barcelos
198806,24.7,barcelos
198807,25.1,barcelos
198808,25.5,barcelos
198809,25.7,barcelos
198810,26.2,barcelos
198811,25.1,barcelos
198812,24.9,barcelos
198901,24,barcelos
198902,24.7,barcelos
198903,25.5,barcelos
198904,25.4,barcelos
198905,24.3,barcelos
198906,24.6,barcelos
198907,24.1,barcelos
198908,NA,barcelos
198909,NA,barcelos
198910,NA,barcelos
198911,NA,barcelos
198912,NA,barcelos
199001,NA,barcelos
199002,NA,barcelos
199003,NA,barcelos
199004,NA,barcelos
199005,NA,barcelos
199006,NA,barcelos
199007,NA,barcelos
199008,NA,barcelos
199009,NA,barcelos
199010,NA,barcelos
199011,NA,barcelos
199012,NA,barcelos
199101,NA,barcelos
199102,NA,barcelos
199103,NA,barcelos
199104,NA,barcelos
199105,NA,barcelos
199106,NA,barcelos
199107,NA,barcelos
199108,NA,barcelos
199109,NA,barcelos
199110,NA,barcelos
199111,NA,barcelos
199112,NA,barcelos
199201,NA,barcelos
199202,NA,barcelos
199203,NA,barcelos
199204,NA,barcelos
199205,NA,barcelos
199206,NA,barcelos
199207,NA,barcelos
199208,NA,barcelos
199209,NA,barcelos
199210,NA,barcelos
199211,NA,barcelos
199212,NA,barcelos
199301,NA,barcelos
199302,26.7,barcelos
199303,25.9,barcelos
199304,26,barcelos
199305,NA,barcelos
199306,NA,barcelos
199307,NA,barcelos
199308,NA,barcelos
199309,26.9,barcelos
199310,27.2,barcelos
199311,27.6,barcelos
199312,28.5,barcelos
199401,27.8,barcelos
199402,27.5,barcelos
199403,27.2,barcelos
199404,27.6,barcelos
199405,26.9,barcelos
199406,26.4,barcelos
199407,26.6,barcelos
199408,27.6,barcelos
199409,27.6,barcelos
199410,28.2,barcelos
199411,27.7,barcelos
199412,28.1,barcelos
199501,28.2,barcelos
199502,28.9,barcelos
199503,28.1,barcelos
199504,28.1,barcelos
199505,27.6,barcelos
199506,27.4,barcelos
199507,27.7,barcelos
199508,28.3,barcelos
199509,28.1,barcelos
199510,28.6,barcelos
199511,27.8,barcelos
199512,27.9,barcelos
199601,27.4,barcelos
199602,26.9,barcelos
199603,27.9,barcelos
199604,27.6,barcelos
199605,27.3,barcelos
199606,26.7,barcelos
199607,27.1,barcelos
199608,27.6,barcelos
199609,28,barcelos
199610,28.1,barcelos
199611,28.1,barcelos
199612,28.3,barcelos
199701,27.5,barcelos
199702,NA,barcelos
199703,27,barcelos
199704,27.7,barcelos
199705,27.4,barcelos
199706,27.8,barcelos
199707,28,barcelos
199708,27.9,barcelos
199709,29.2,barcelos
199710,30,barcelos
199711,28.8,barcelos
199712,29.5,barcelos
199801,30,barcelos
199802,29.2,barcelos
199803,29.4,barcelos
199804,28.3,barcelos
199805,27.5,barcelos
199806,27.1,barcelos
199807,27.6,barcelos
199808,28.3,barcelos
199809,28.4,barcelos
199810,29,barcelos
199811,28.4,barcelos
199812,27.7,barcelos
199901,26.5,barcelos
199902,26.8,barcelos
199903,28.1,barcelos
199904,26.9,barcelos
199905,26.6,barcelos
199906,27.2,barcelos
199907,27.2,barcelos
199908,27.2,barcelos
199909,27.9,barcelos
199910,28.1,barcelos
199911,28,barcelos
199912,28.2,barcelos
200001,27.1,barcelos
200002,27.7,barcelos
200003,26.8,barcelos
200004,26.7,barcelos
200005,26.8,barcelos
200006,27.3,barcelos
200007,26.4,barcelos
200008,27.8,barcelos
200009,27.5,barcelos
200010,27.4,barcelos
200011,28.5,barcelos
200012,28.5,barcelos
200101,27.6,barcelos
200102,28.2,barcelos
200103,27.9,barcelos
200104,27.8,barcelos
200105,27.5,barcelos
200106,26.5,barcelos
200107,27.4,barcelos
200108,28.3,barcelos
200109,28.4,barcelos
200110,29,barcelos
200111,29.3,barcelos
200112,28.8,barcelos
200201,28.6,barcelos
200202,28.8,barcelos
200203,27.6,barcelos
200204,27.5,barcelos
200205,27.2,barcelos
200206,27.1,barcelos
200207,28,barcelos
200208,28.2,barcelos
200209,28.6,barcelos
200210,28.5,barcelos
200211,28.3,barcelos
200212,28.8,barcelos
200301,29.4,barcelos
200302,29.1,barcelos
200303,28.2,barcelos
200304,27.4,barcelos
200305,27.1,barcelos
200306,27,barcelos
200307,27.1,barcelos
200308,27.5,barcelos
200309,27.8,barcelos
200310,28.3,barcelos
200311,28.2,barcelos
200312,28.9,barcelos
200401,28.9,barcelos
200402,28.9,barcelos
200403,28.2,barcelos
200404,27.4,barcelos
200405,27.2,barcelos
200406,27,barcelos
200407,27,barcelos
200408,27.5,barcelos
200409,27.7,barcelos
200410,28.3,barcelos
200411,28.7,barcelos
200412,28.5,barcelos
200501,28.3,barcelos
200502,27.5,barcelos
200503,27.5,barcelos
200504,27.4,barcelos
200505,27.8,barcelos
200506,27.5,barcelos
200507,27.2,barcelos
200508,28,barcelos
200509,27.9,barcelos
200510,28.1,barcelos
200511,27.9,barcelos
200512,27.4,barcelos
200601,27.1,barcelos
200602,27.5,barcelos
200603,27.8,barcelos
200604,27.6,barcelos
200605,26.7,barcelos
200606,27.2,barcelos
200607,26.8,barcelos
200608,27.7,barcelos
200609,28,barcelos
200610,28.6,barcelos
200611,27.8,barcelos
200612,28.3,barcelos
200701,28.5,barcelos
200702,29.8,barcelos
200703,27.6,barcelos
200704,27.4,barcelos
200705,27.2,barcelos
200706,27.2,barcelos
200707,27.4,barcelos
200708,27.3,barcelos
200709,27.4,barcelos
200710,27.7,barcelos
200711,28.2,barcelos
200712,27,barcelos
200801,28,barcelos
200802,27.4,barcelos
200803,27.7,barcelos
200804,28.1,barcelos
200805,26.4,barcelos
200806,26.9,barcelos
200807,27.2,barcelos
200808,28.1,barcelos
200809,28.2,barcelos
200810,27.9,barcelos
200811,27.8,barcelos
200812,27.3,barcelos
200901,27.1,barcelos
200902,27.6,barcelos
200903,26.6,barcelos
200904,27.1,barcelos
200905,26.9,barcelos
200906,NA,barcelos
200907,27,barcelos
200908,27.7,barcelos
200909,28.8,barcelos
200910,28.3,barcelos
200911,28.6,barcelos
200912,28.5,barcelos
201001,28.9,barcelos
201002,28.4,barcelos
201003,28.9,barcelos
201004,27.6,barcelos
201005,27.8,barcelos
201006,28.1,barcelos
201007,27.3,barcelos
201008,27.9,barcelos
201009,28.6,barcelos
201010,28.8,barcelos
201011,28.3,barcelos
201012,28.1,barcelos
201101,27.9,barcelos
201102,27.3,barcelos
201103,27.2,barcelos
201104,27.2,barcelos
201105,27.2,barcelos
201106,27.6,barcelos
201107,27.6,barcelos
201108,28,barcelos
201109,28.2,barcelos
201110,28.1,barcelos
201111,28.1,barcelos
201112,28.5,barcelos
201201,27.5,barcelos
201202,26.7,barcelos
201203,27.5,barcelos
201204,25.7,barcelos
201205,26,barcelos
201206,26.3,barcelos
201207,26,barcelos
201208,26.6,barcelos
201209,26.5,barcelos
201210,27.2,barcelos
201211,27.6,barcelos
201212,26.7,barcelos
201301,27.8,barcelos
201302,26,barcelos
201303,26.9,barcelos
201304,27.2,barcelos
201305,26.4,barcelos
201306,26.5,barcelos
201307,25.5,barcelos
201308,26,barcelos
201309,26.9,barcelos
201310,27.4,barcelos
201311,26.6,barcelos
201312,27.9,barcelos
201401,26.9,barcelos
201402,26.4,barcelos
201403,26.3,barcelos
201404,26.6,barcelos
201405,26.6,barcelos
201406,26.6,barcelos
201407,26.3,barcelos
201408,26.4,barcelos
201409,28,barcelos
201410,26.5,barcelos
201411,27.1,barcelos
201412,27.8,barcelos
201501,26.2,barcelos
201502,28,barcelos
201503,26.6,barcelos
201504,26.5,barcelos
201505,26.2,barcelos
201506,26.6,barcelos
201507,NA,barcelos
201508,NA,barcelos
201509,28.5,barcelos
201510,27.9,barcelos
201511,28,barcelos
201512,27.9,barcelos
201601,28.2,barcelos
201602,28.2,barcelos
201603,27.3,barcelos
201604,27.4,barcelos
201605,27.5,barcelos
201606,27.3,barcelos
201607,27.5,barcelos
201608,27.6,barcelos
201609,27.6,barcelos
201610,26,barcelos
201611,27.8,barcelos
201612,NA,barcelos
